batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
7937,14:01:04,6.595,3.265,0.558,6.662,5.886,9.457,2.675,0.667,2.415,4.351
8617,14:01:04,6.018,3.712,2.658,3.98,1.929,5.748,5.938,3.054,5.652,0.867
6828,14:01:04,2.732,7.565,1.698,9.363,3.496,5.268,8.349,0.557,1.829,3.258
3535,14:01:04,0.669,3.227,8.059,7.011,4.073,8.794,6.883,1.613,8.943,0.58
2948,14:01:04,3.09,6.234,8.177,2.547,2.048,8.374,3.716,6.248,6.428,0.95
6945,14:01:04,4.93,8.088,7.912,8.152,6.122,0.818,1.643,1.815,4.012,6.672
9021,14:01:04,9.778,8.924,9.7,7.144,5.296,9.251,4.477,0.321,6.593,7.792
7937,14:01:04,8.614,7.097,5.926,6.244,5.404,8.891,3.424,7.844,5.883,4.157
8452,14:01:04,8.405,7.657,4.708,1.787,0.174,1.985,2.857,2.109,1.004,0.897
2510,14:01:04,1.249,0.485,2.019,3.819,8.022,6.923,1.369,6.303,2.982,7.549
